personID,eventId,world_avg,world_single
2005AKKE01,sq1,4124,3395
2005AKKE01,333ft,191,161
2005AKKE01,magic,60,42
2005AKKE01,333,833,1091
2005AKKE01,333oh,1428,1419
2005AKKE01,666,671,665
2005AKKE01,555,475,356
2005AKKE01,pyram,1598,2011
2005AKKE01,222,1393,379
2005AKKE01,444,465,412
2005AKKE01,minx,705,750
2005AKKE01,mmagic,179,126
2005AKKE01,333fm,290,28
2005AKKE01,333bf,702,1093
2005AKKE01,clock,2195,2308
2005AKKE01,777,626,703
2005AKKE01,skewb,10681,3185
2007CHAN07,pyram,45627,37207
2007CHAN07,555,5419,5062
2007CHAN07,444,3486,3212
2007CHAN07,333bf,2067,1742
2007CHAN07,333,989,838
2007CHAN07,333oh,1925,1731
2007CHAN07,magic,1246,1781
2007HESS01,minx,579,531
2007HESS01,333oh,542,791
2007HESS01,777,2259,2478
2007HESS01,magic,266,548
2007HESS01,mmagic,336,423
2007HESS01,skewb,1742,4374
2007HESS01,pyram,15145,6574
2007HESS01,333,485,645
2007HESS01,333fm,809,1082
2007HESS01,333ft,862,731
2007HESS01,clock,4414,4229
2007HESS01,222,619,379
2007HESS01,sq1,108,71
2007HESS01,555,1501,1375
2007HESS01,666,1694,1716
2007HESS01,333bf,37,37
2007HESS01,444,474,551
2007LIME01,777,1316,1374
2007LIME01,333oh,953,1106
2007LIME01,magic,387,255
2007LIME01,555,850,747
2007LIME01,222,2549,291
2007LIME01,333fm,1541,2095
2007LIME01,666,1562,1345
2007LIME01,sq1,9725,9932
2007LIME01,333,666,988
2007LIME01,333bf,282,226
2007LIME01,clock,2694,2983
2007LIME01,pyram,10835,11771
2007LIME01,444,1238,1163
2007LIME01,minx,9316,10841
2007LIME01,mmagic,1285,1524
2007LIME01,skewb,41420,40019
2007VALK01,333,55,60
2007VALK01,444,27,13
2007VALK01,666,93,38
2007VALK01,777,197,191
2007VALK01,sq1,971,1098
2007VALK01,mmagic,674,771
2007VALK01,333ft,1532,1780
2007VALK01,skewb,8132,7363
2007VALK01,333bf,1262,1838
2007VALK01,555,52,30
2007VALK01,magic,127,203
2007VALK01,222,332,15
2007VALK01,333oh,177,185
2007VALK01,333fm,152,237
2007VALK01,pyram,3965,4256
2007VALK01,minx,377,296
2007VALK01,clock,3885,3376
2007VALL01,333,911,1030
2007VALL01,555,251,331
2007VALL01,333oh,3234,2083
2007VALL01,777,302,249
2007VALL01,222,89394,85023
2007VALL01,666,432,497
2007VALL01,444,1035,1425
2007VALL01,magic,1106,680
2007WOOR01,777,1618,1483
2007WOOR01,222,924,2642
2007WOOR01,magic,1194,1265
2007WOOR01,666,1803,1795
2007WOOR01,555,1238,1629
2007WOOR01,pyram,5780,5348
2007WOOR01,333ft,197,248
2007WOOR01,444,1622,1615
2007WOOR01,mmagic,776,1097
2007WOOR01,333,859,873
2007WOOR01,clock,2489,3179
2007WOOR01,minx,202,275
2007WOOR01,sq1,2726,2795
2007WOOR01,333oh,1597,1584
2007WOOR01,333bf,161,166
2007WOOR01,333fm,622,550
2007WOOR01,skewb,3216,3271
2008CHUC02,222,14419,13604
2008CHUC02,skewb,19083,16098
2008CHUC02,555,4918,5101
2008CHUC02,sq1,4935,4953
2008CHUC02,333,867,884
2008CHUC02,magic,1441,1517
2008CHUC02,444,1544,1871
2008CHUC02,333oh,4544,3699
2008CLAR01,333,750,988
2008CLAR01,minx,1004,1195
2008CLAR01,333oh,761,586
2008CLAR01,333fm,1318,415
2008CLAR01,clock,1302,1307
2008CLAR01,333bf,1984,1876
2008CLAR01,444,993,1218
2008CLAR01,666,1923,1844
2008CLAR01,pyram,3613,3899
2008CLAR01,333ft,539,421
2008CLAR01,skewb,8339,6133
2008CLAR01,sq1,5444,5473
2008CLAR01,555,1748,1771
2008CLAR01,777,1546,1751
2008CLAR01,222,1255,596
2008LIKA01,555,257,363
2008LIKA01,777,299,368
2008LIKA01,minx,1942,2372
2008LIKA01,pyram,8435,5922
2008LIKA01,444,246,353
2008LIKA01,333,677,1099
2008LIKA01,skewb,15249,15371
2008LIKA01,mmagic,1212,597
2008LIKA01,222,1098,1538
2008LIKA01,333oh,971,668
2008LIKA01,sq1,5193,4756
2008LIKA01,magic,97,32
2008LIKA01,666,320,386
2008SEAR01,333oh,1223,953
2008SEAR01,pyram,15812,4502
2008SEAR01,333,308,236
2008SEAR01,333bf,1953,1888
2008SEAR01,444,11129,13166
2008SEAR01,minx,2522,2363
2008SEAR01,222,592,920
2008SEAR01,clock,6987,6541
2008SUNZ01,444,426,336
2008SUNZ01,333,201,195
2008SUNZ01,minx,1750,954
2008SUNZ01,222,1332,920
2008SUNZ01,pyram,29488,29094
2008SUNZ01,555,1928,1846
2008SUNZ01,333oh,21,7
2008SUNZ01,sq1,7039,6041
2008YUDA01,minx,11,18
2008YUDA01,555,542,632
2008YUDA01,333ft,1082,1256
2008YUDA01,444bf,177,150
2008YUDA01,333fm,1605,3257
2008YUDA01,skewb,4115,5113
